
合約月份      行使價       *開市  *全日最高 *全日最低 正式收市價   成交量  | *開市  *全日最高 *全日最低     結算價     結算價變動 引申波幅%   成交量  | *合約最高  *合約最低    成交量   未平倉合約 未平倉合約變動
19 年 02 月   9300 認沽        0          0         0         0         0  |     3          3         3          1              0       31        69  |       208          3        69      1391          -60
19 年 02 月   9400 認沽        0          0         0         0         0  |     3          3         3          1              0       29        64  |       232          3        64      1146          +36
19 年 02 月   9500 認沽        0          0         0         0         0  |     0          0         0          1             -1       28         0  |       264          4         0      5491            0
19 年 02 月   9600 認沽        5          6         5         6         3  |     3          3         3          1             -2       26         1  |       300          3         4      7048           +1
19 年 02 月   9700 認沽        7          7         7         7         1  |     5          5         4          2             -2       26       106  |       329          4       107      1472          -17
19 年 02 月   9800 認沽        0          0         0         0         0  |     7          8         5          3             -3       26       168  |       383          5       168      7308          -41
19 年 02 月   9900 認沽       10         11        10        11         2  |    10         10         5          4             -4       25        56  |       437          5        58      1971          +15
19 年 02 月  10000 認沽       11         14        11        14         6  |    11         13         6          6             -4       24       345  |       478          6       351     10987          -50
19 年 02 月  10100 認沽       17         17        17        17        10  |    15         16         8          8             -6       23       130  |       541          8       140      4884          +15
19 年 02 月  10200 認沽       19         19        19        19         4  |    21         22        11         11             -8       23       622  |       531         11       626      4408         -356
19 年 02 月  10300 認沽       25         30        25        29        62  |    28         28        15         15            -11       22       713  |       609         15       775      6205          +56
19 年 02 月  10400 認沽       35         40        35        40        13  |    37         40        19         20            -14       21       877  |       733         19       890      6709         +182
19 年 02 月  10500 認沽       50         52        50        52        20  |    47         55        29         27            -19       20      1244  |       672         29      1264      6276         +955
19 年 02 月  10600 認沽       61         71        61        70        58  |    67         74        37         38            -24       19       869  |       547         37       927      4043         +366
19 年 02 月  10700 認沽       77         92        77        92        34  |    90        100        52         53            -30       18       411  |       811         52       445      1766         +109
19 年 02 月  10800 認沽      106        123       104       123        32  |   122        133        73         74            -36       18      1528  |      1043         73      1560      6038         -292
19 年 02 月  10900 認沽      138        169       138       167        18  |   155        176       102        102            -43       17      2992  |      1087        102      3010      3930        -1026
19 年 02 月  11000 認沽      180        220       180       211        20  |   205        220       139        139            -51       17       877  |       944        137       897      3566         +361
19 年 02 月  11100 認沽        0          0         0         0         0  |   272        272       204        189            -54       17        14  |       552        177        14       845           +2
19 年 02 月  11200 認沽        0          0         0         0         0  |   268        268       268        249            -58       16         2  |       676        222         2       401           -2
19 年 02 月  11300 認沽        0          0         0         0         0  |   400        403       322        322            -59       17        29  |       851        322        29        45          +18
19 年 02 月  11400 認沽      500        500       500       500         1  |   518        518       518        398            -63       16         1  |       518        445         2         6            0
19 年 02 月  11500 認沽        0          0         0         0         0  |     0          0         0        482            -67       16         0  |       988        615         0         2            0
19 年 02 月  11600 認沽        0          0         0         0         0  |     0          0         0        575            -66       17         0  |       629        589         0        10            0
19 年 02 月  11700 認沽        0          0         0         0         0  |     0          0         0        668            -69       17         0  |         0          0         0         0            0
19 年 02 月  11800 認沽        0          0         0         0         0  |     0          0         0        762            -69       15         0  |         0          0         0         0            0
19 年 02 月  11900 認沽      951        951       951       951         1  |   955        976       931        863            -69       18         9  |       995        931        10         4           -4
19 年 02 月  12000 認沽        0          0         0         0         0  |     0          0         0        962            -65       18         0  |      1679       1550         0         1            0
19 年 02 月  12100 認沽        0          0         0         0         0  |     0          0         0       1059            -67        0         0  |         0          0         0         0            0
19 年 02 月  12200 認沽        0          0         0         0         0  |     0          0         0       1159            -67        0         0  |         0          0         0         0            0
19 年 02 月  12300 認沽        0          0         0         0         0  |     0          0         0       1259            -67        0         0  |         0          0         0         0            0
19 年 02 月  12400 認沽        0          0         0         0         0  |     0          0         0       1359            -67        0         0  |         0          0         0         0            0
19 年 02 月  12500 認沽        0          0         0         0         0  |     0          0         0       1459            -67        0         0  |      2426       2165         0         0            0
